Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Nepal,Asia-Pasific,0.762,44.99,28.57,30.58,0.26741573033707866,0.44237202230106437,0.28765822784810124,0.26916096607566653,0.31665173664047774,High Risk
Netherlands,Europe,0.262,97.05,83.12,81.86,0.8292134831460674,0.9700963000506843,0.8630801687763714,0.9850621248080412,0.911863019195291,Low Risk
New Zealand,Asia-Pasific,0.179,84.04,51.95,76.81,0.9224719101123595,0.8382159148504815,0.534282700421941,0.9145609381544045,0.8023828658847967,Low Risk
Nicaragua,North America,0.6,9.0,29.87,32.7,0.449438202247191,0.07754688291941206,0.30137130801687767,0.29875750383917354,0.2817784742556636,High Risk
Niger,Africa,0.483,11.38,40.26,51.79,0.5808988764044944,0.1016725798276736,0.41097046413502114,0.5652659500209408,0.4147019675970325,Medium Risk
Nigeria,Africa,0.614,84.76,54.55,31.76,0.4337078651685393,0.8455144450076026,0.5617088607594937,0.2856345106798827,0.5316414204038796,Medium Risk
North Korea,Asia-Pasific,0.483,1.35,40.26,51.79,0.5808988764044944,0.0,0.41097046413502114,0.5652659500209408,0.3892838226401141,Medium Risk
North Macedonia,Europe,0.352,89.92,55.84,55.36,0.7280898876404495,0.8978205778003041,0.5753164556962026,0.6151054027642049,0.7040830809752903,Low Risk
Norway,Europe,0.134,96.89,67.53,80.19,0.9730337078651685,0.9684744044602129,0.6986286919831224,0.9617478710037692,0.9004711688280682,Low Risk
Oman,Asia-Pasific,0.483,96.04,45.45,59.51,0.5808988764044944,0.9598580841358338,0.46571729957805913,0.6730420214993716,0.6698790704044397,Medium Risk
Pakistan,Asia-Pasific,0.755,64.88,42.86,32.23,0.2752808988764045,0.6439939178915356,0.4383966244725739,0.29219600725952805,0.4124668621250105,Medium Risk
Palestine,Asia-Pasific,0.855,25.18,40.26,51.79,0.1629213483146068,0.24156107450582864,0.41097046413502114,0.5652659500209408,0.34517970924409935,Medium Risk
Panama,North America,0.569,34.11,50.65,48.43,0.4842696629213483,0.33208312214901164,0.5205696202531646,0.5183582297919864,0.4638201587788777,Medium Risk
Papua New Guinea,Asia-Pasific,0.483,26.33,22.08,51.79,0.5808988764044944,0.2532184490623416,0.2191983122362869,0.5652659500209408,0.404645396931016,Medium Risk
Paraguay,South America,0.414,57.09,63.64,42.58,0.6584269662921348,0.5650278763304613,0.6575949367088608,0.43668853832193205,0.5794345794133472,Medium Risk
Peru,South America,0.648,55.67,62.34,48.23,0.39550561797752803,0.5506335529650278,0.6438818565400845,0.515566103587882,0.5263967827676306,Medium Risk
Philippines,Asia-Pasific,0.621,77.0,63.64,45.99,0.4258426966292135,0.7668525088697415,0.6575949367088608,0.4842942901019125,0.5836461080774321,Medium Risk
Poland,Europe,0.286,93.86,87.01,65.03,0.802247191011236,0.9377597567156615,0.9041139240506331,0.7501047047326539,0.8485563941275461,Low Risk
Portugal,Europe,0.303,97.32,89.61,68.46,0.7831460674157303,0.9728332488596046,0.9315400843881857,0.7979896691330447,0.8713772674491413,Low Risk
Qatar,Asia-Pasific,0.241,94.5,58.44,64.99,0.8528089887640449,0.9442473390775469,0.6027426160337553,0.749546279491833,0.7873363058417949,Low Risk
Romania,Europe,0.462,76.29,89.61,59.84,0.6044943820224719,0.7596553471870249,0.9315400843881857,0.677649029736144,0.7433347108334566,Low Risk
Russia,Europe,0.528,98.06,71.43,65.12,0.5303370786516853,0.9803345159655348,0.7397679324894516,0.7513611615245009,0.7504501721577932,Low Risk
Rwanda,Africa,0.483,79.95,33.77,30.23,0.5808988764044944,0.7967562088190573,0.34251054852320684,0.2642747452184838,0.4961100947413105,Medium Risk
Saint Kitts and Nevis,North America,0.483,12.44,11.69,72.4,0.5808988764044944,0.11241763811454637,0.10959915611814346,0.852994555353902,0.41397755649777157,Medium Risk
Saint Lucia,North America,0.483,10.96,12.99,46.3,0.5808988764044944,0.09741510390268628,0.12331223628691983,0.4886220857182744,0.32256207557809374,High Risk
Saint Vincent and the Grenadines,North America,0.483,12.18,7.79,55.4,0.5808988764044944,0.1097820577800304,0.06845991561181435,0.6156638280050256,0.3437011694503412,Medium Risk
Samoa,Asia-Pasific,0.483,29.33,10.39,33.0,0.5808988764044944,0.28362899138367964,0.09588607594936709,0.3029456931453301,0.3158399092207178,High Risk
San Marino,Europe,0.483,13.83,23.08,51.79,0.5808988764044944,0.12650785605676634,0.22974683544303795,0.5652659500209408,0.3756048794813099,Medium Risk
Sao Tome and Principe,Africa,0.483,15.64,40.26,51.79,0.5808988764044944,0.14485554992397365,0.41097046413502114,0.5652659500209408,0.4254977101211075,Medium Risk
Saudi Arabia,Asia-Pasific,0.39,99.54,84.42,63.89,0.6853932584269662,0.9953370501773949,0.8767932489451478,0.7341895853692586,0.8229282857296919,Low Risk
Senegal,Africa,0.483,35.85,19.48,33.04,0.5808988764044944,0.34972123669538774,0.19177215189873417,0.303504118386151,0.35647409584619183,Medium Risk
Serbia,Europe,0.434,89.8,80.52,59.81,0.6359550561797753,0.8966041561074506,0.8356540084388185,0.6772302108055284,0.7613608578828932,Low Risk
Seychelles,Africa,0.483,13.23,10.39,50.3,0.5808988764044944,0.12042574759249873,0.09588607594936709,0.5444646098003629,0.3354188274366808,Medium Risk
